[ 2026-09-09 18:32:59,135 ] 20 root - INFO - Initiate the data ingestion
[ 2026-09-09 18:33:02,473 ] 66 root - INFO - Performed train test split on the dataset
[ 2026-09-09 18:33:02,473 ] 67 root - INFO - Existing data ingestion component. Train test split is done and train and test file is created.
[ 2026-09-09 18:33:02,474 ] 72 root - INFO - Exporting training dataset to file: [Artifacts\09092026__183259\data_ingestion\train.csv]
[ 2026-09-09 18:33:02,534 ] 78 root - INFO - Exporting test dataset to file: [Artifacts\09092026__183259\data_ingestion\test.csv]
[ 2026-09-09 18:33:02,561 ] 22 root - INFO - Data Initiation Completed
[ 2026-09-09 18:33:02,574 ] 26 root - INFO - Initiate the data Validation
[ 2026-09-09 18:33:02,658 ] 31 root - INFO - Required number of columns: 31
[ 2026-09-09 18:33:02,658 ] 32 root - INFO - Data frame has columns: 31
[ 2026-09-09 18:33:02,658 ] 31 root - INFO - Required number of columns: 31
[ 2026-09-09 18:33:02,658 ] 32 root - INFO - Data frame has columns: 31
[ 2026-09-09 18:33:02,658 ] 52 root - INFO - Missing numerical columns: []
[ 2026-09-09 18:33:02,853 ] 28 root - INFO - data Validation Completed
[ 2026-09-09 18:33:02,855 ] 31 root - INFO - data Transformation started
[ 2026-09-09 18:33:02,994 ] 49 root - INFO - Entered the save_object method MainUtils class
[ 2026-09-09 18:33:02,997 ] 55 root - INFO - Existed the save_object method of Mainutils class
[ 2026-09-09 18:33:03,000 ] 78 root - INFO - Data transformation artifact created: DataTransformationArtifact(transformed_object_file_path='Artifacts\\09092026__183259\\data_transformation\\transfromed_object\\preprocessing.pkl', transformed_train_file_path='Artifacts\\09092026__183259\\data_transformation\\transformed\\train.npy', transformed_test_file_path='Artifacts\\09092026__183259\\data_transformation\\transformed\\test.npy')
[ 2026-09-09 18:33:03,024 ] 35 root - INFO - data Transformation completed
[ 2026-09-09 18:33:03,024 ] 37 root - INFO - Model Training sstared
[ 2026-09-09 18:37:37,158 ] 49 root - INFO - Entered the save_object method MainUtils class
[ 2026-09-09 18:37:37,180 ] 55 root - INFO - Existed the save_object method of Mainutils class
[ 2026-09-09 18:37:37,180 ] 173 root - INFO - Model trainer artifact:ModelTrainerArtifact(trained_model_file_path='Artifacts\\09092026__183259\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9906118684434524, precision_score=0.9906273377093454, recall_score=0.9906151062867481), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9655756878034119, precision_score=0.9657205751741414, recall_score=0.9656264133876075))
[ 2026-09-09 18:37:37,182 ] 42 root - INFO - Model Training artifact created
