[ 2026-09-09 14:23:39,898 ] 20 root - INFO - Initiate the data ingestion
[ 2026-09-09 14:23:43,076 ] 66 root - INFO - Performed train test split on the dataset
[ 2026-09-09 14:23:43,076 ] 67 root - INFO - Existing data ingestion component. Train test split is done and train and test file is created.
[ 2026-09-09 14:23:43,077 ] 72 root - INFO - Exporting training dataset to file: [Artifacts\09092026__142339\data_ingestion\train.csv]
[ 2026-09-09 14:23:43,140 ] 78 root - INFO - Exporting test dataset to file: [Artifacts\09092026__142339\data_ingestion\test.csv]
[ 2026-09-09 14:23:43,141 ] 22 root - INFO - Data Initiation Completed
[ 2026-09-09 14:23:43,159 ] 26 root - INFO - Initiate the data Validation
[ 2026-09-09 14:23:43,216 ] 31 root - INFO - Required number of columns: 31
[ 2026-09-09 14:23:43,216 ] 32 root - INFO - Data frame has columns: 31
[ 2026-09-09 14:23:43,216 ] 31 root - INFO - Required number of columns: 31
[ 2026-09-09 14:23:43,216 ] 32 root - INFO - Data frame has columns: 31
[ 2026-09-09 14:23:43,216 ] 52 root - INFO - Missing numerical columns: []
[ 2026-09-09 14:23:43,407 ] 28 root - INFO - data Validation Completed
[ 2026-09-09 14:23:43,407 ] 31 root - INFO - data Transformation started
[ 2026-09-09 14:23:43,521 ] 49 root - INFO - Entered the save_object method MainUtils class
[ 2026-09-09 14:23:43,526 ] 55 root - INFO - Existed the save_object method of Mainutils class
[ 2026-09-09 14:23:43,532 ] 75 root - INFO - Data transformation artifact created: DataTransformationArtifact(transformed_object_file_path='Artifacts\\09092026__142339\\data_transformation\\transfromed_object\\preprocessing.pkl', transformed_train_file_path='Artifacts\\09092026__142339\\data_transformation\\transformed\\train.npy', transformed_test_file_path='Artifacts\\09092026__142339\\data_transformation\\transformed\\test.npy')
[ 2026-09-09 14:23:43,533 ] 35 root - INFO - data Transformation completed
[ 2026-09-09 14:23:43,533 ] 37 root - INFO - Model Training sstared
