[ 2026-09-09 14:36:19,429 ] 161 numexpr.utils - INFO - NumExpr defaulting to 16 threads.
[ 2026-09-09 14:36:23,781 ] 20 root - INFO - Initiate the data ingestion
[ 2026-09-09 14:36:34,703 ] 66 root - INFO - Performed train test split on the dataset
[ 2026-09-09 14:36:34,703 ] 67 root - INFO - Existing data ingestion component. Train test split is done and train and test file is created.
[ 2026-09-09 14:36:34,703 ] 72 root - INFO - Exporting training dataset to file: [Artifacts\09092026__143623\data_ingestion\train.csv]
[ 2026-09-09 14:36:34,753 ] 78 root - INFO - Exporting test dataset to file: [Artifacts\09092026__143623\data_ingestion\test.csv]
[ 2026-09-09 14:36:34,754 ] 22 root - INFO - Data Initiation Completed
[ 2026-09-09 14:36:34,759 ] 26 root - INFO - Initiate the data Validation
[ 2026-09-09 14:36:34,861 ] 31 root - INFO - Required number of columns: 31
[ 2026-09-09 14:36:34,861 ] 32 root - INFO - Data frame has columns: 31
[ 2026-09-09 14:36:34,861 ] 31 root - INFO - Required number of columns: 31
[ 2026-09-09 14:36:34,861 ] 32 root - INFO - Data frame has columns: 31
[ 2026-09-09 14:36:34,861 ] 52 root - INFO - Missing numerical columns: []
[ 2026-09-09 14:36:35,004 ] 28 root - INFO - data Validation Completed
[ 2026-09-09 14:36:35,004 ] 31 root - INFO - data Transformation started
[ 2026-09-09 14:36:35,107 ] 49 root - INFO - Entered the save_object method MainUtils class
[ 2026-09-09 14:36:35,110 ] 55 root - INFO - Existed the save_object method of Mainutils class
[ 2026-09-09 14:36:35,112 ] 75 root - INFO - Data transformation artifact created: DataTransformationArtifact(transformed_object_file_path='Artifacts\\09092026__143623\\data_transformation\\transfromed_object\\preprocessing.pkl', transformed_train_file_path='Artifacts\\09092026__143623\\data_transformation\\transformed\\train.npy', transformed_test_file_path='Artifacts\\09092026__143623\\data_transformation\\transformed\\test.npy')
[ 2026-09-09 14:36:35,113 ] 35 root - INFO - data Transformation completed
[ 2026-09-09 14:36:35,113 ] 37 root - INFO - Model Training sstared
[ 2026-09-09 14:37:28,010 ] 49 root - INFO - Entered the save_object method MainUtils class
[ 2026-09-09 14:37:28,054 ] 55 root - INFO - Existed the save_object method of Mainutils class
[ 2026-09-09 14:37:28,054 ] 124 root - INFO - Model trainer artifact:ModelTrainerArtifact(trained_model_file_path='Artifacts\\09092026__143623\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9915641833519666, precision_score=0.988049422726352, recall_score=0.9951040391676866), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9715639810426541, precision_score=0.9631949882537196, recall_score=0.9800796812749004))
[ 2026-09-09 14:37:28,057 ] 42 root - INFO - Model Training artifact created
