[ 2026-09-06 21:32:50,479 ] 161 numexpr.utils - INFO - NumExpr defaulting to 16 threads.
[ 2026-09-06 21:32:52,649 ] 20 root - INFO - Initiate the data ingestion
[ 2026-09-06 21:33:01,116 ] 66 root - INFO - Performed train test split on the dataset
[ 2026-09-06 21:33:01,117 ] 67 root - INFO - Existing data ingestion component. Train test split is done and train and test file is created.
[ 2026-09-06 21:33:01,117 ] 72 root - INFO - Exporting training dataset to file: [Artifacts\09062026__213252\data_ingestion\train.csv]
[ 2026-09-06 21:33:01,225 ] 78 root - INFO - Exporting test dataset to file: [Artifacts\09062026__213252\data_ingestion\test.csv]
[ 2026-09-06 21:33:01,227 ] 22 root - INFO - Data Initiation Completed
[ 2026-09-06 21:33:01,238 ] 26 root - INFO - Initiate the data Validation
[ 2026-09-06 21:33:01,351 ] 31 root - INFO - Required number of columns: 31
[ 2026-09-06 21:33:01,351 ] 32 root - INFO - Data frame has columns: 31
[ 2026-09-06 21:33:01,351 ] 31 root - INFO - Required number of columns: 31
[ 2026-09-06 21:33:01,351 ] 32 root - INFO - Data frame has columns: 31
[ 2026-09-06 21:33:01,351 ] 52 root - INFO - Missing numerical columns: []
[ 2026-09-06 21:33:01,678 ] 28 root - INFO - data Validation Completed
[ 2026-09-06 21:33:01,679 ] 31 root - INFO - data Transformation started
[ 2026-09-06 21:33:01,807 ] 49 root - INFO - Entered the save_object method MainUtils class
[ 2026-09-06 21:33:01,813 ] 55 root - INFO - Existed the save_object method of Mainutils class
[ 2026-09-06 21:33:01,818 ] 75 root - INFO - Data transformation artifact created: DataTransformationArtifact(transformed_object_file_path='Artifacts\\09062026__213252\\data_transformation\\transfromed_object\\preprocessing.pkl', transformed_train_file_path='Artifacts\\09062026__213252\\data_transformation\\transformed\\train.npy', transformed_test_file_path='Artifacts\\09062026__213252\\data_transformation\\transformed\\test.npy')
[ 2026-09-06 21:33:01,821 ] 35 root - INFO - data Transformation completed
[ 2026-09-06 21:33:01,821 ] 37 root - INFO - Model Training sstared
[ 2026-09-06 21:33:08,457 ] 49 root - INFO - Entered the save_object method MainUtils class
[ 2026-09-06 21:33:08,493 ] 55 root - INFO - Existed the save_object method of Mainutils class
[ 2026-09-06 21:33:08,493 ] 99 root - INFO - Model trainer artifact:ModelTrainerArtifact(trained_model_file_path='Artifacts\\09062026__213252\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9913706602448324, precision_score=0.9872102318145484, recall_score=0.9955663039097138), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.972210700953961, precision_score=0.9638157894736842, recall_score=0.9807531380753138))
[ 2026-09-06 21:33:08,496 ] 42 root - INFO - Model Training artifact created
