[ 2026-09-06 21:22:58,349 ] 20 root - INFO - Initiate the data ingestion
[ 2026-09-06 21:23:02,366 ] 66 root - INFO - Performed train test split on the dataset
[ 2026-09-06 21:23:02,366 ] 67 root - INFO - Existing data ingestion component. Train test split is done and train and test file is created.
[ 2026-09-06 21:23:02,366 ] 72 root - INFO - Exporting training dataset to file: [Artifacts\09062026__212258\data_ingestion\train.csv]
[ 2026-09-06 21:23:02,426 ] 78 root - INFO - Exporting test dataset to file: [Artifacts\09062026__212258\data_ingestion\test.csv]
[ 2026-09-06 21:23:02,426 ] 22 root - INFO - Data Initiation Completed
[ 2026-09-06 21:23:02,436 ] 26 root - INFO - Initiate the data Validation
[ 2026-09-06 21:23:02,530 ] 31 root - INFO - Required number of columns: 31
[ 2026-09-06 21:23:02,530 ] 32 root - INFO - Data frame has columns: 31
[ 2026-09-06 21:23:02,530 ] 31 root - INFO - Required number of columns: 31
[ 2026-09-06 21:23:02,530 ] 32 root - INFO - Data frame has columns: 31
[ 2026-09-06 21:23:02,530 ] 52 root - INFO - Missing numerical columns: []
[ 2026-09-06 21:23:02,695 ] 28 root - INFO - data Validation Completed
[ 2026-09-06 21:23:02,696 ] 31 root - INFO - data Transformation started
[ 2026-09-06 21:23:02,796 ] 49 root - INFO - Entered the save_object method MainUtils class
[ 2026-09-06 21:23:02,799 ] 55 root - INFO - Existed the save_object method of Mainutils class
[ 2026-09-06 21:23:02,802 ] 75 root - INFO - Data transformation artifact created: DataTransformationArtifact(transformed_object_file_path='Artifacts\\09062026__212258\\data_transformation\\transfromed_object\\preprocessing.pkl', transformed_train_file_path='Artifacts\\09062026__212258\\data_transformation\\transformed\\train.npy', transformed_test_file_path='Artifacts\\09062026__212258\\data_transformation\\transformed\\test.npy')
[ 2026-09-06 21:23:02,803 ] 35 root - INFO - data Transformation completed
[ 2026-09-06 21:23:02,803 ] 37 root - INFO - Model Training sstared
